key,label,badge,emoji,accent,month,day,th_headline,en_headline,hashtag
none,ไม่มี,,,,0,0,,,
newyear,ปีใหม่,NEW YEAR,🎊,#A0784A,1,1,🎊 ต้อนรับปีใหม่ด้วยบ้านที่สงบ,Happy New Year,#HappyNewYear
1.1,1.1,1.1,🛍️,#C0392B,1,1,🛍️ 1.1 เปิดปีใหม่ด้วยดีลคุ้ม,1.1 Sale,#1_1Sale
cny,ตรุษจีน,ตรุษจีน,🧧,#C0392B,2,1,🧧 รับตรุษจีน เสริมบ้านมงคล,Chinese New Year,#ตรุษจีน
2.2,2.2,2.2,🛍️,#C0392B,2,2,🛍️ 2.2 ดีลเด็ดต้อนรับเดือนแห่งความรัก,2.2 Sale,#2_2Sale
valentine,วาเลนไทน์,VALENTINE,💛,#C2185B,2,14,💛 ของขวัญแทนใจ วันวาเลนไทน์,Valentine's Gift,#Valentine
3.3,3.3,3.3,🛍️,#C0392B,3,3,🛍️ 3.3 รับฤดูใหม่ด้วยดีลใหม่,3.3 Sale,#3_3Sale
4.4,4.4,4.4,🛍️,#C0392B,4,4,🛍️ 4.4 ดีลแรงรับซัมเมอร์,4.4 Sale,#4_4Sale
songkran,สงกรานต์,SONGKRAN,💦,#1E88A8,4,13,💦 สงกรานต์นี้ พักผ่อนสบายที่บ้าน,Songkran Festival,#สงกรานต์
5.5,5.5,5.5,🛍️,#C0392B,5,5,🛍️ 5.5 กลางเดือน ดีลกลางปี,5.5 Sale,#5_5Sale
6.6,6.6,6.6,🔥,#E4572E,6,6,🔥 ดีลเด็ดรับ 6.6 มาแล้ว!,6.6 Mega Sale,#6_6Sale
7.7,7.7,7.7,🔥,#E4572E,7,7,🔥 7.7 ลดจัดเต็ม!,7.7 Sale,#7_7Sale
8.8,8.8,8.8,🔥,#E4572E,8,8,🔥 8.8 ดีลแรงรับกลางปี!,8.8 Sale,#8_8Sale
mothers,วันแม่,วันแม่,🤍,#1565C0,8,12,🤍 ของขวัญวันแม่ จากใจ,Mother's Day,#วันแม่
9.9,9.9,9.9,🛍️,#C0392B,9,9,🛍️ 9.9 ช้อปคุ้มรับสิ้นปี!,9.9 Sale,#9_9Sale
10.10,10.10,10.10,🛍️,#C0392B,10,10,🛍️ 10.10 ดีลใหญ่!,10.10 Sale,#10_10Sale
11.11,11.11,11.11,🛒,#B8001F,11,11,🛒 11.11 เซลใหญ่แห่งปี!,11.11 Mega Sale,#11_11Sale
loykrathong,ลอยกระทง,ลอยกระทง,🪷,#7B4F9A,11,15,🪷 ลอยกระทง คืนแห่งความสงบ,Loy Krathong,#ลอยกระทง
blackfriday,Black Friday,BLACK FRIDAY,🖤,#111111,11,28,🖤 Black Friday ลดทั้งร้าน!,Black Friday,#BlackFriday
fathers,วันพ่อ,วันพ่อ,💛,#B8860B,12,5,💛 ของขวัญวันพ่อ สุดพิเศษ,Father's Day,#วันพ่อ
12.12,12.12,12.12,🎉,#B8860B,12,12,🎉 12.12 ส่งท้ายปีลดสูงสุด!,12.12 Year-End Sale,#12_12Sale
christmas,คริสต์มาส,CHRISTMAS,🎄,#2E7D32,12,25,🎄 เติมความอบอุ่นรับคริสต์มาส,Merry Christmas,#Christmas
